college_name,location,year,specialization,state,owned
"Centurion University of Technology and Management, Andhra Pradesh ",Visakhapatnam ,2017,"Technology, Management ",Andhra Pradesh,P
Krea University ,Sri City ,2018,Liberal arts ,Andhra Pradesh,P
Saveetha Amaravati University ,Amaravati ,2018,Health sciences ,Andhra Pradesh,P
"SRM University, Andhra Pradesh ",Amaravati ,2017,General ,Andhra Pradesh,P
VIT-AP University ,Amaravati ,2017,"Technology, Management ",Andhra Pradesh,P
Arunachal University of Studies ,Namsai ,2012,General ,Arunachal Pradesh,P
Arunodaya University ,Itanagar ,2014,General ,Arunachal Pradesh,P
Himalayan University ,Itanagar ,2013,General ,Arunachal Pradesh,P
Indira Gandhi Technological and Medical Sciences University ,Ziro ,2012,General ,Arunachal Pradesh,P
North East Frontier Technical University ,Aalo ,2014,General ,Arunachal Pradesh,P
Venkateshwara Open University ,Naharlagun ,2012,General ,Arunachal Pradesh,P
Assam Don Bosco University,Guwahati ,2009,General ,Assam,P
Assam Down Town University ,Guwahati ,2010,General ,Assam,P
Kaziranga University,Jorhat ,2012,General ,Assam,P
Krishnaguru Adhyatmik Vishvavidyalaya,Sarthebari ,2017,General ,Assam,P
Mahapurusha Srimanta Sankaradeva Viswavidyalaya ,Nagaon ,2013,Humanities ,Assam,P
Royal Global University,Guwahati ,2013,General ,Assam,P
Al-Karim University ,Katihar ,2018,Medicine ,Bihar,P
"Amity University, Patna ",Patna ,2017,General ,Bihar,P
"Dr. C.V. Raman University, Bihar ",Bhagwanpur ,2018,General ,Bihar,P
Gopal Narayan Singh University ,Jamuhar ,2018,General ,Bihar,P
K. K. University ,Nalanda ,2017,General ,Bihar,P
Mata Gujri University ,Kishanganj ,2019,Medicine ,Bihar,P
"Sandip University, Sijoul ",Madhubani ,2017,General ,Bihar,P
AAFT University of Media and Arts ,Raipur ,2018,"Film, Media and Arts ",Chhattisgarh,P
"Amity University, Raipur ",Raipur ,2014,General ,Chhattisgarh,P
Dr. C.V. Raman University ,Kota ,2006,General ,Chhattisgarh,P
"ICFAI University, Raipur ",Raipur ,2011,Management ,Chhattisgarh,P
ISBM University ,Chhura ,2016,General ,Chhattisgarh,P
"ITM University, Raipur ",Naya Raipur ,2012,General ,Chhattisgarh,P
Kalinga University ,Raipur ,2012,General ,Chhattisgarh,P
Maharishi University of Management and Technology ,Bilaspur ,2002,"Technology, Management ",Chhattisgarh,P
MATS University ,Raipur ,2006,General ,Chhattisgarh,P
O.P. Jindal University ,Raigarh ,2014,"Technology, Management ",Chhattisgarh,P
Shri Rawatpura Sarkar University ,Raipur ,2018,General ,Chhattisgarh,P
Ahmedabad University ,Ahmedabad ,2009,General ,Gujrat,P
Anant National University ,Ahmedabad ,2016,"Architecture, Planning ",Gujrat,P
Atmiya University ,Rajkot ,2018,"Technology, Management ",Gujrat,P
AURO University,Surat ,2011,General ,Gujrat,P
